Date | Gender | Post 
14-3-2005|m|Hello,  Nairaland is a discussion board/forum which simply aims to be the largest, broadest, most informative discussion forum for the people of Nigeria. You can discuss anything that interests you on this forum: - Report breaking news stories. - Share your experience of a particular place, event, product or service. - Share your knowledge/opinion on topics of interest. - Ask questions, or make requests and receive helpful answers from other members of the forum.  We have categories which deal with virtually every topic of interest, including movies, music, TV shows, books, soccer, mobile phones, fashion, food, business, computing, automobiles, politics, religion, romance, and more.  You can view the forum using: * Any mobile phone with support for WAP 1.0 or WAP 2.0/XHTML (automatically detected!) * Standard PC browsers (Internet Explorer, Firefox, Opera, etc).  Joining Nairaland is like joining a club, minus the membership dues. Registration is quick, easy and automatic. Please feel free to jump in and start participating. Feel free to PM me if you have any questions!  Start at the home page:   Regards, Seun Osewa Webmaster.
20-1-2006|f|thats some good innovation,the room is really good
21-1-2006|m|This site is a very noble idea by Seun. A place where all we Nigerians can come together and just talk.
18-11-2010||hi seun it dipo your former colleague in Rooftop Cybercafe I can see you are doing a real good job, Keep it up
11-12-2010|f|Hello All Nairalanders/Moderators,  Can we have Consumer Complaints Forum as a separate section on Nairaland please? I have a complaint about PHCN services and bills that I'm getting. I have been to Consumer Forum of Nigeria (CAFON) hosted by Sola Salako but PHCN personnel deliberately came very late to the forum in order to avoid consumer questions and they ran away before the end of the programme under the guise that they had more important appointments!!! I wonder what appointments could be more important than that of the customers paying their bills.  I know its almost the same experience with everyone living in 9ja and people hardly bother such issues anymore, but we the Nairalanders should be able to set up our own equivalent of United States Tea Party forum and begin to get the government to give attention to our objective complaints. Let us help ourselves.  My complaint is that I keep getting Meter Maintenance Charge as part of my bill every month. I have written to my local PHCN office to protest that I dont have a meter, even though I paid for one years back and have continued to give copies of my receipt to them. They just told me I have to keep paying as there's nothing they can do about it. I checked on line and was asked to write to the Power Minister to protest it but we know President Goodluck Jonathan is currently in charge of the power ministry. How do you get Mr. President to give attention to this sort of complaint? I wrote my first complaint letter three years ago when I was getting N154 meter maintenance charge as part of my monthly bill. This was increased to N1019 since July 2010 without consultation or warning whatsoever. I went to my local PHCN office and all I got was "it not just you but everyone is affected by the increase" attitude. Nobody seems to want to hear that I haven't got a meter talk less of getting it maintained by PHCN staff. Nobody does anything but drop the monthly bill at my door.  Nairalanders, the election is just round the corner and I feel that if nothing is done about this governmental rip-off, the private companies who buy off PHCN will continue this trend when they take over the business. Please let us make our voice heard by this government.  What is your experience and what result did you get if you did anything about it? Can anyone advice us how we can get this and other consumer issues to the attention of the government, whether local, state or federal? Thanks in advance for your useful contribution.  ps: Moderator, please feel free to copy this unto other sections in order to get good response. Thanks.
11-11-2013|m|Commendable web design now you are reaping the good you sowed. Kudos Oga seun. I was Here!!!
13-11-2013||I was here
18-11-2013|m|So was I.  Keep up the good work Seun.
18-11-2013|m|astro was here
18-11-2013||Cool.
18-11-2013|m|Seun reply Dipo nahh? Lol. Anywayz, dis forum has touched lives in more ways dan 1. Proud to be a member. Big-ups Seun, u scored A+ on this.
18-11-2013|m|Hmmmn
18-11-2013|m|Seun was here.
08-12-2013|m|...down memory lane. I was here
08-12-2013|m|
08-12-2013|m|fdigital~ since Mobileforum > Nairaland  2005-2013.  Long Live The Webmaster of This Forum
08-12-2013|m|Seun, awayu?
08-12-2013|m|Just incase I later deactivate my account.....SPEEDYBOI posted this and was on this forum and not a 'NOBODY'
08-12-2013|m|Lol. This is SHOLAY too oh.
19-12-2013||I wanna be a mod o
19-12-2013|m|I have nothing to write
02-1-2014|m|The very first thread!
02-1-2014||Nairaland is just a place to have fun. Take things serious here at your own detriment. We talk, yab ourselves and laugh it off
02-1-2014|f|I wuz here eeeeeeEe........booty butt chic
02-1-2014|m|Where's d booty nahh?
02-1-2014|m|**Drops Spear and bows down**
30-6-2014|m|First to comment after the return of nairaland on nairaland's first page
30-6-2014|m|The first thread on Nairaland. Nostalgic.
30-6-2014|m|Present!
04-7-2014|m|Is this who i think?.....I was here too.
04-7-2014|m|cool
12-7-2014||Ireti123 checked in here!  This is probably the first thread on Nairaland.
